;mother_wavelet;local_max_level;threshold_type;k_coeff;m_coeff;input_snr;output_snr;input_mse;output_mse;execution_time
799;sym2;5;soft;1,0;1,0;5,00274503627044;6,871894799261824;0,001341695714542099;0,0008724470054187501;13,3558
199;db2;5;soft;1,0;1,0;5,00274503627044;6,871894799261824;0,001341695714542099;0,0008724470054187501;14,5414
198;db2;5;soft;1,0;0,8;5,00274503627044;6,64576677016295;0,001341695714542099;0,000919076917997639;14,4041
798;sym2;5;soft;1,0;0,8;5,00274503627044;6,64576677016295;0,001341695714542099;0,000919076917997639;13,5409
399;db5;5;soft;1,0;1,0;5,00274503627044;6,582912400927192;0,001341695714542099;0,0009324752127945734;15,6574
194;db2;5;soft;0,75;1,0;5,00274503627044;6,580965717022487;0,001341695714542099;0,0009328932796721347;14,6877
794;sym2;5;soft;0,75;1,0;5,00274503627044;6,580965717022487;0,001341695714542099;0,0009328932796721347;13,8472
999;sym5;5;soft;1,0;1,0;5,00274503627044;6,579636228102309;0,001341695714542099;0,0009331789064046461;15,3683
1199;sym8;5;soft;1,0;1,0;5,00274503627044;6,501917555342686;0,001341695714542099;0,0009500288210828634;16,6175
599;db8;5;soft;1,0;1,0;5,00274503627044;6,487744686191839;0,001341695714542099;0,000953134232055163;17,0702
159;db2;4;soft;1,0;1,0;5,00274503627044;6,467958794313198;0,001341695714542099;0,0009574864943220746;14,562
759;sym2;4;soft;1,0;1,0;5,00274503627044;6,467958794313198;0,001341695714542099;0,0009574864943220746;13,9789
197;db2;5;soft;1,0;0,6;5,00274503627044;6,364186612799138;0,001341695714542099;0,0009806406118150334;13,9243
797;sym2;5;soft;1,0;0,6;5,00274503627044;6,364186612799138;0,001341695714542099;0,0009806406118150334;13,6269
193;db2;5;soft;0,75;0,8;5,00274503627044;6,364186612799138;0,001341695714542099;0,0009806406118150334;13,9514
793;sym2;5;soft;0,75;0,8;5,00274503627044;6,364186612799138;0,001341695714542099;0,0009806406118150334;13,5494
398;db5;5;soft;1,0;0,8;5,00274503627044;6,357720765075989;0,001341695714542099;0,0009821016930683982;16,1075
998;sym5;5;soft;1,0;0,8;5,00274503627044;6,354865430740347;0,001341695714542099;0,0009827476028935053;15,4034
758;sym2;4;soft;1,0;0,8;5,00274503627044;6,311428369330606;0,001341695714542099;0,0009926261205847064;13,7487
158;db2;4;soft;1,0;0,8;5,00274503627044;6,311428369330606;0,001341695714542099;0,0009926261205847064;13,9655
394;db5;5;soft;0,75;1,0;5,00274503627044;6,296292859724801;0,001341695714542099;0,0009960915370242826;15,3497
994;sym5;5;soft;0,75;1,0;5,00274503627044;6,293478709582978;0,001341695714542099;0,0009967371955921407;14,5794
1198;sym8;5;soft;1,0;0,8;5,00274503627044;6,281118141352167;0,001341695714542099;0,000999578076088801;17,6592
598;db8;5;soft;1,0;0,8;5,00274503627044;6,269857094618189;0,001341695714542099;0,0010021732970819965;16,8174
154;db2;4;soft;0,75;1,0;5,00274503627044;6,2654999942072465;0,001341695714542099;0,0010031792414355247;14,0566
754;sym2;4;soft;0,75;1,0;5,00274503627044;6,2654999942072465;0,001341695714542099;0,0010031792414355247;13,7952
959;sym5;4;soft;1,0;1,0;5,00274503627044;6,253040956723467;0,001341695714542099;0,0010060612934777358;15,6135
359;db5;4;soft;1,0;1,0;5,00274503627044;6,25217003177643;0,001341695714542099;0,0010062630671076476;23,6684
1194;sym8;5;soft;0,75;1,0;5,00274503627044;6,221410012684856;0,001341695714542099;0,0010134154825335523;16,927
594;db8;5;soft;0,75;1,0;5,00274503627044;6,210845565217177;0,001341695714542099;0,0010158836711275702;17,6415
189;db2;5;soft;0,5;1,0;5,00274503627044;6,1992926012673095;0,001341695714542099;0,0010185896902597353;14,5045
789;sym2;5;soft;0,5;1,0;5,00274503627044;6,1992926012673095;0,001341695714542099;0,0010185896902597353;13,8367
1159;sym8;4;soft;1,0;1,0;5,00274503627044;6,187716544348163;0,001341695714542099;0,0010213083480834029;16,0635
559;db8;4;soft;1,0;1,0;5,00274503627044;6,182527683725311;0,001341695714542099;0,0010225293154168564;16,7193
792;sym2;5;soft;0,75;0,6;5,00274503627044;6,11001814640796;0,001341695714542099;0,0010397447151616992;13,6202
192;db2;5;soft;0,75;0,6;5,00274503627044;6,11001814640796;0,001341695714542099;0,0010397447151616992;14,3298
153;db2;4;soft;0,75;0,8;5,00274503627044;6,108374652269703;0,001341695714542099;0,0010401382586647135;13,7648
757;sym2;4;soft;1,0;0,6;5,00274503627044;6,108374652269703;0,001341695714542099;0,0010401382586647135;15,3841
157;db2;4;soft;1,0;0,6;5,00274503627044;6,108374652269703;0,001341695714542099;0,0010401382586647135;15,6537
753;sym2;4;soft;0,75;0,8;5,00274503627044;6,108374652269703;0,001341695714542099;0,0010401382586647135;13,9453
397;db5;5;soft;1,0;0,6;5,00274503627044;6,098176003479992;0,001341695714542099;0,0010425837122718803;15,6186
393;db5;5;soft;0,75;0,8;5,00274503627044;6,098176003479992;0,001341695714542099;0,0010425837122718803;15,7129
997;sym5;5;soft;1,0;0,6;5,00274503627044;6,095703486502728;0,001341695714542099;0,0010431774430170965;14,9363
993;sym5;5;soft;0,75;0,8;5,00274503627044;6,095703486502728;0,001341695714542099;0,0010431774430170965;14,8316
958;sym5;4;soft;1,0;0,8;5,00274503627044;6,090457418322046;0,001341695714542099;0,0010444383125092524;14,6333
358;db5;4;soft;1,0;0,8;5,00274503627044;6,0898018098363735;0,001341695714542099;0,0010445959922256104;16,0945
954;sym5;4;soft;0,75;1,0;5,00274503627044;6,045200157239158;0,001341695714542099;0,0010553791754782044;14,9748
354;db5;4;soft;0,75;1,0;5,00274503627044;6,044649230610588;0,001341695714542099;0,0010555130646699884;15,8903
1193;sym8;5;soft;0,75;0,8;5,00274503627044;6,030110664132451;0,001341695714542099;0,0010590524514108742;17,9466
1197;sym8;5;soft;1,0;0,6;5,00274503627044;6,030110664132451;0,001341695714542099;0,0010590524514108742;16,6058
1158;sym8;4;soft;1,0;0,8;5,00274503627044;6,0276762329281866;0,001341695714542099;0,0010596462680900003;16,5259
