;mother_wavelet;local_max_level;threshold_type;k_coeff;m_coeff;input_snr;output_snr;input_mse;output_mse;execution_time
0;db2;1;hard;0,25;0,2;9,125344197970783;9,126526640583315;0,0003501258810632862;0,00035003056615047777;8,6251
1;db2;1;hard;0,25;0,4;9,125344197970783;9,127229674819212;0,0003501258810632862;0,0003499739079231707;8,823
2;db2;1;hard;0,25;0,6;9,125344197970783;9,127562292248534;0,0003501258810632862;0,00034994710515020417;8,1638
3;db2;1;hard;0,25;0,8;9,125344197970783;9,12749600459395;0,0003501258810632862;0,00034995244653740276;8,3831
4;db2;1;hard;0,25;1,0;9,125344197970783;9,127034230304538;0,0003501258810632862;0,00034998965807026255;8,0599
5;db2;1;hard;0,5;0,2;9,125344197970783;9,127229674819212;0,0003501258810632862;0,0003499739079231707;11,653
6;db2;1;hard;0,5;0,4;9,125344197970783;9,12749600459395;0,0003501258810632862;0,00034995244653740276;8,1676
7;db2;1;hard;0,5;0,6;9,125344197970783;9,126211182290376;0,0003501258810632862;0,00035005599222883273;8,0865
8;db2;1;hard;0,5;0,8;9,125344197970783;9,123502916002437;0,0003501258810632862;0,0003502743556998515;8,1741
9;db2;1;hard;0,5;1,0;9,125344197970783;9,119781013187392;0,0003501258810632862;0,0003505746694165282;8,8474
10;db2;1;hard;0,75;0,2;9,125344197970783;9,127562292248534;0,0003501258810632862;0,00034994710515020417;8,4277
11;db2;1;hard;0,75;0,4;9,125344197970783;9,126211182290376;0,0003501258810632862;0,00035005599222883273;8,3615
12;db2;1;hard;0,75;0,6;9,125344197970783;9,121780932510738;0,0003501258810632862;0,00035041326749293757;8,4563
13;db2;1;hard;0,75;0,8;9,125344197970783;9,114912343528147;0,0003501258810632862;0,00035096790244375974;8,3374
14;db2;1;hard;0,75;1,0;9,125344197970783;9,10587150932026;0,0003501258810632862;0,0003516992835114555;7,9603
15;db2;1;hard;1,0;0,2;9,125344197970783;9,12749600459395;0,0003501258810632862;0,00034995244653740276;8,147
16;db2;1;hard;1,0;0,4;9,125344197970783;9,123502916002437;0,0003501258810632862;0,0003502743556998515;7,8703
17;db2;1;hard;1,0;0,6;9,125344197970783;9,114912343528147;0,0003501258810632862;0,00035096790244375974;8,0503
18;db2;1;hard;1,0;0,8;9,125344197970783;9,102527312532288;0,0003501258810632862;0,00035197020672494544;7,7729
19;db2;1;hard;1,0;1,0;9,125344197970783;9,087434096205186;0,0003501258810632862;0,00035319555140061613;7,8061
20;db2;1;soft;0,25;0,2;9,125344197970783;9,142438755070344;0,0003501258810632862;0,0003487504358092944;9,2811
21;db2;1;soft;0,25;0,4;9,125344197970783;9,151827764401112;0,0003501258810632862;0,0003479972868983168;9,181
22;db2;1;soft;0,25;0,6;9,125344197970783;9,15794929346626;0,0003501258810632862;0,00034750711837162575;9,1776
23;db2;1;soft;0,25;0,8;9,125344197970783;9,161458678997661;0,0003501258810632862;0,00034722642315124783;9,2223
24;db2;1;soft;0,25;1,0;9,125344197970783;9,162964841906692;0,0003501258810632862;0,00034710602353637415;11,3251
25;db2;1;soft;0,5;0,2;9,125344197970783;9,151827764401112;0,0003501258810632862;0,0003479972868983168;10,075
26;db2;1;soft;0,5;0,4;9,125344197970783;9,161458678997661;0,0003501258810632862;0,00034722642315124783;9,3437
27;db2;1;soft;0,5;0,6;9,125344197970783;9,162876563958584;0,0003501258810632862;0,00034711307914500746;9,6436
28;db2;1;soft;0,5;0,8;9,125344197970783;9,158756128900897;0,0003501258810632862;0,00034744256424407166;9,1204
29;db2;1;soft;0,5;1,0;9,125344197970783;9,150593432213363;0,0003501258810632862;0,0003480962071742397;9,4263
30;db2;1;soft;0,75;0,2;9,125344197970783;9,15794929346626;0,0003501258810632862;0,00034750711837162575;9,8878
31;db2;1;soft;0,75;0,4;9,125344197970783;9,162876563958584;0,0003501258810632862;0,00034711307914500746;9,1082
32;db2;1;soft;0,75;0,6;9,125344197970783;9,155090384881618;0,0003501258810632862;0,0003477359534590505;9,4415
33;db2;1;soft;0,75;0,8;9,125344197970783;9,139771511404852;0,0003501258810632862;0,0003489646886106736;8,9622
34;db2;1;soft;0,75;1,0;9,125344197970783;9,11980020554013;0,0003501258810632862;0,0003505731201594851;8,3783
35;db2;1;soft;1,0;0,2;9,125344197970783;9,161458678997661;0,0003501258810632862;0,00034722642315124783;9,468
36;db2;1;soft;1,0;0,4;9,125344197970783;9,158756128900897;0,0003501258810632862;0,00034744256424407166;9,3264
37;db2;1;soft;1,0;0,6;9,125344197970783;9,139771511404852;0,0003501258810632862;0,0003489646886106736;9,31
38;db2;1;soft;1,0;0,8;9,125344197970783;9,112535453686633;0,0003501258810632862;0,0003511600394384004;9,0341
39;db2;1;soft;1,0;1,0;9,125344197970783;9,080772622543847;0,0003501258810632862;0,0003537377199798357;9,3985
40;db2;2;hard;0,25;0,2;9,125344197970783;9,126776083877957;0,0003501258810632862;0,000350010462217809;10,6938
41;db2;2;hard;0,25;0,4;9,125344197970783;9,127677205326634;0,0003501258810632862;0,0003499378457723651;10,1749
42;db2;2;hard;0,25;0,6;9,125344197970783;9,12850882430827;0,0003501258810632862;0,00034987084351790446;10,6932
43;db2;2;hard;0,25;0,8;9,125344197970783;9,129172565631777;0,0003501258810632862;0,00034981737611233256;10,5845
44;db2;2;hard;0,25;1,0;9,125344197970783;9,129532579526114;0,0003501258810632862;0,00034978837876114996;10,4353
45;db2;2;hard;0,5;0,2;9,125344197970783;9,127677205326634;0,0003501258810632862;0,0003499378457723651;11,1816
46;db2;2;hard;0,5;0,4;9,125344197970783;9,129172565631777;0,0003501258810632862;0,00034981737611233256;11,0345
47;db2;2;hard;0,5;0,6;9,125344197970783;9,129718663713035;0,0003501258810632862;0,0003497733915360489;10,983
48;db2;2;hard;0,5;0,8;9,125344197970783;9,12803677400261;0,0003501258810632862;0,0003499088743061293;11,4713
49;db2;2;hard;0,5;1,0;9,125344197970783;9,124031665516355;0,0003501258810632862;0,0003502317127170196;10,5387
50;db2;2;hard;0,75;0,2;9,125344197970783;9,12850882430827;0,0003501258810632862;0,00034987084351790446;10,9501
51;db2;2;hard;0,75;0,4;9,125344197970783;9,129718663713035;0,0003501258810632862;0,0003497733915360489;13,3833
52;db2;2;hard;0,75;0,6;9,125344197970783;9,126381524165375;0,0003501258810632862;0,0003500422623687579;10,614
53;db2;2;hard;0,75;0,8;9,125344197970783;9,117483401265403;0,0003501258810632862;0,00035076018815549713;10,2097
54;db2;2;hard;0,75;1,0;9,125344197970783;9,103966522266397;0,0003501258810632862;0,00035185358654125595;11,4898
55;db2;2;hard;1,0;0,2;9,125344197970783;9,129172565631777;0,0003501258810632862;0,00034981737611233256;10,9122
56;db2;2;hard;1,0;0,4;9,125344197970783;9,12803677400261;0,0003501258810632862;0,0003499088743061293;12,4568
57;db2;2;hard;1,0;0,6;9,125344197970783;9,117483401265403;0,0003501258810632862;0,00035076018815549713;10,7216
