;mother_wavelet;local_max_level;threshold_type;k_coeff;m_coeff;input_snr;output_snr;input_mse;output_mse;execution_time
399;db5;5;soft;1,0;1,0;5,002651467719787;5,760978714261945;0,0014275326864677481;0,0011988182245074616;17,4346
999;sym5;5;soft;1,0;1,0;5,002651467719787;5,752010195082306;0,0014275326864677481;0,001201296435445935;16,0223
1199;sym8;5;soft;1,0;1,0;5,002651467719787;5,749013059609688;0,0014275326864677481;0,00120212575540257;18,8303
599;db8;5;soft;1,0;1,0;5,002651467719787;5,742333575679432;0,0014275326864677481;0,0012039760569711993;16,9857
199;db2;5;soft;1,0;1,0;5,002651467719787;5,739074297023279;0,0014275326864677481;0,0012048799520164419;14,2446
799;sym2;5;soft;1,0;1,0;5,002651467719787;5,739074297023279;0,0014275326864677481;0,0012048799520164419;12,7422
198;db2;5;soft;1,0;0,8;5,002651467719787;5,737341493742441;0,0014275326864677481;0,0012053607862403926;14,3696
798;sym2;5;soft;1,0;0,8;5,002651467719787;5,737341493742441;0,0014275326864677481;0,0012053607862403926;12,9655
794;sym2;5;soft;0,75;1,0;5,002651467719787;5,730069983979121;0,0014275326864677481;0,001207380644827693;12,9135
194;db2;5;soft;0,75;1,0;5,002651467719787;5,730069983979121;0,0014275326864677481;0,001207380644827693;13,759
398;db5;5;soft;1,0;0,8;5,002651467719787;5,718540958791465;0,0014275326864677481;0,0012105900833790657;15,5399
998;sym5;5;soft;1,0;0,8;5,002651467719787;5,710943685563443;0,0014275326864677481;0,0012127096665635083;15,0465
1198;sym8;5;soft;1,0;0,8;5,002651467719787;5,704012968265452;0,0014275326864677481;0,0012146465223903458;17,6813
394;db5;5;soft;0,75;1,0;5,002651467719787;5,70237245168547;0,0014275326864677481;0,0012151054331625347;15,8572
598;db8;5;soft;1,0;0,8;5,002651467719787;5,698981732836451;0,0014275326864677481;0,0012160544872827207;16,9169
994;sym5;5;soft;0,75;1,0;5,002651467719787;5,695264416692808;0,0014275326864677481;0,001217095807020087;15,3658
193;db2;5;soft;0,75;0,8;5,002651467719787;5,688250880669862;0,0014275326864677481;0,001219062915048562;14,4906
197;db2;5;soft;1,0;0,6;5,002651467719787;5,688250880669862;0,0014275326864677481;0,001219062915048562;13,6273
797;sym2;5;soft;1,0;0,6;5,002651467719787;5,688250880669862;0,0014275326864677481;0,001219062915048562;18,583
793;sym2;5;soft;0,75;0,8;5,002651467719787;5,688250880669862;0,0014275326864677481;0,001219062915048562;14,2939
