;mother_wavelet;local_max_level;threshold_type;k_coeff;m_coeff;input_snr;output_snr;input_mse;output_mse;execution_time
516;db8;3;soft;1,0;0,4;4,998694053452326;11,959922623680612;0,004501690181942346;0,0009187913498453175;21,1106
508;db8;3;soft;0,5;0,8;4,998694053452326;11,959922623680612;0,004501690181942346;0,0009187913498453175;16,2565
512;db8;3;soft;0,75;0,6;4,998694053452326;11,931177405453212;0,004501690181942346;0,0009241513288133623;16,687
316;db5;3;soft;1,0;0,4;4,998694053452326;11,864982305165654;0,004501690181942346;0,0009393195040718032;14,9086
308;db5;3;soft;0,5;0,8;4,998694053452326;11,864982305165654;0,004501690181942346;0,0009393195040718032;15,4765
551;db8;4;soft;0,75;0,4;4,998694053452326;11,864958292081695;0,004501690181942346;0,0009405257312736163;17,8603
547;db8;4;soft;0,5;0,6;4,998694053452326;11,864958292081695;0,004501690181942346;0,0009405257312736163;18,7901
509;db8;3;soft;0,5;1,0;4,998694053452326;11,86162253266216;0,004501690181942346;0,0009382031524650908;16,7551
533;db8;4;hard;0,75;0,8;4,998694053452326;11,841462054121607;0,004501690181942346;0,0009417000203529218;15,3091
537;db8;4;hard;1,0;0,6;4,998694053452326;11,841462054121607;0,004501690181942346;0,0009417000203529218;16,8909
312;db5;3;soft;0,75;0,6;4,998694053452326;11,823663751744675;0,004501690181942346;0,0009474961701334298;15,8842
347;db5;4;soft;0,5;0,6;4,998694053452326;11,788721393284064;0,004501690181942346;0,0009503276855878843;16,8389
351;db5;4;soft;0,75;0,4;4,998694053452326;11,788721393284064;0,004501690181942346;0,0009503276855878843;14,5637
494;db8;3;hard;0,75;1,0;4,998694053452326;11,786073801823434;0,004501690181942346;0,00096633661200176;16,1299
916;sym4;3;soft;1,0;0,4;4,998694053452326;11,781507419121908;0,004501690181942346;0,0009507042844352934;15,1883
908;sym4;3;soft;0,5;0,8;4,998694053452326;11,781507419121908;0,004501690181942346;0,0009507042844352934;13,735
577;db8;5;hard;1,0;0,6;4,998694053452326;11,776937490445789;0,004501690181942346;0,0009554684102515846;16,3827
573;db8;5;hard;0,75;0,8;4,998694053452326;11,776937490445789;0,004501690181942346;0,0009554684102515846;15,9175
337;db5;4;hard;1,0;0,6;4,998694053452326;11,77195993710415;0,004501690181942346;0,0009703011235998322;14,5811
333;db5;4;hard;0,75;0,8;4,998694053452326;11,77195993710415;0,004501690181942346;0,0009703011235998322;12,9126
498;db8;3;hard;1,0;0,8;4,998694053452326;11,753185590273958;0,004501690181942346;0,0009738275725200462;14,8359
309;db5;3;soft;0,5;1,0;4,998694053452326;11,746048601849125;0,004501690181942346;0,0009636611922294833;16,1019
534;db8;4;hard;0,75;1,0;4,998694053452326;11,737065266618757;0,004501690181942346;0,000976946475362638;15,7432
912;sym4;3;soft;0,75;0,6;4,998694053452326;11,729521576853031;0,004501690181942346;0,0009615073202585336;13,189
947;sym4;4;soft;0,5;0,6;4,998694053452326;11,723509989313825;0,004501690181942346;0,0009646817516826559;15,0668
951;sym4;4;soft;0,75;0,4;4,998694053452326;11,723509989313825;0,004501690181942346;0,0009646817516826559;16,2752
933;sym4;4;hard;0,75;0,8;4,998694053452326;11,705631238160116;0,004501690181942346;0,0009715654900743781;13,6647
937;sym4;4;hard;1,0;0,6;4,998694053452326;11,705631238160116;0,004501690181942346;0,0009715654900743781;13,7435
294;db5;3;hard;0,75;1,0;4,998694053452326;11,699669478289934;0,004501690181942346;0,000985699888933838;13,8748
517;db8;3;soft;1,0;0,6;4,998694053452326;11,698385250208297;0,004501690181942346;0,0009723653910623397;17,6979
513;db8;3;soft;0,75;0,8;4,998694053452326;11,698385250208297;0,004501690181942346;0,0009723653910623397;16,5891
373;db5;5;hard;0,75;0,8;4,998694053452326;11,691497077868974;0,004501690181942346;0,0009879203157208394;15,0426
377;db5;5;hard;1,0;0,6;4,998694053452326;11,691497077868974;0,004501690181942346;0,0009879203157208394;14,7817
556;db8;4;soft;1,0;0,4;4,998694053452326;11,689492652486045;0,004501690181942346;0,0009775315439833018;19,6586
548;db8;4;soft;0,5;0,8;4,998694053452326;11,689492652486045;0,004501690181942346;0,0009775315439833018;17,2321
