;mother_wavelet;local_max_level;threshold_type;k_coeff;m_coeff;input_snr;output_snr;input_mse;output_mse;execution_time
1147;sym8;4;soft;0,5;0,6;4,992557587862237;10,918911092811612;0,0008905382176822361;0,00022751875971637977;14,2288
1151;sym8;4;soft;0,75;0,4;4,992557587862237;10,918911092811612;0,0008905382176822361;0,00022751875971637977;17,1094
547;db8;4;soft;0,5;0,6;4,992557587862237;10,905713885559223;0,0008905382176822361;0,00022821118826395832;16,8238
551;db8;4;soft;0,75;0,4;4,992557587862237;10,905713885559223;0,0008905382176822361;0,00022821118826395832;16,8882
507;db8;3;soft;0,5;0,6;4,992557587862237;10,860044122104938;0,0008905382176822361;0,00023062368576647714;16,6775
511;db8;3;soft;0,75;0,4;4,992557587862237;10,860044122104938;0,0008905382176822361;0,00023062368576647714;17,056
1107;sym8;3;soft;0,5;0,6;4,992557587862237;10,859291649395388;0,0008905382176822361;0,00023066364783638467;16,1568
1111;sym8;3;soft;0,75;0,4;4,992557587862237;10,859291649395388;0,0008905382176822361;0,00023066364783638467;16,6516
1184;sym8;5;soft;0,25;1,0;4,992557587862237;10,85640707307573;0,0008905382176822361;0,00023081690511705044;15,2834
584;db8;5;soft;0,25;1,0;4,992557587862237;10,849122666035512;0,0008905382176822361;0,0002312043784147439;17,2096
1191;sym8;5;soft;0,75;0,4;4,992557587862237;10,84158130381541;0,0008905382176822361;0,0002316062049998436;16,0783
1187;sym8;5;soft;0,5;0,6;4,992557587862237;10,84158130381541;0,0008905382176822361;0,0002316062049998436;16,6201
591;db8;5;soft;0,75;0,4;4,992557587862237;10,841398626049681;0,0008905382176822361;0,00023161594728201938;18,1949
587;db8;5;soft;0,5;0,6;4,992557587862237;10,841398626049681;0,0008905382176822361;0,00023161594728201938;17,3799
951;sym5;4;soft;0,75;0,4;4,992557587862237;10,830456597729246;0,0008905382176822361;0,00023220023828325793;15,0285
947;sym5;4;soft;0,5;0,6;4,992557587862237;10,830456597729246;0,0008905382176822361;0,00023220023828325793;13,8581
1144;sym8;4;soft;0,25;1,0;4,992557587862237;10,828911322913811;0,0008905382176822361;0,00023228287277161143;14,227
351;db5;4;soft;0,75;0,4;4,992557587862237;10,819593154907608;0,0008905382176822361;0,00023278179103896642;16,2184
347;db5;4;soft;0,5;0,6;4,992557587862237;10,819593154907608;0,0008905382176822361;0,00023278179103896642;16,6119
544;db8;4;soft;0,25;1,0;4,992557587862237;10,812094119143815;0,0008905382176822361;0,00023318408649259558;18,0575
508;db8;3;soft;0,5;0,8;4,992557587862237;10,806951534227132;0,0008905382176822361;0,00023346036889512712;16,9066
516;db8;3;soft;1,0;0,4;4,992557587862237;10,806951534227132;0,0008905382176822361;0,00023346036889512712;15,6034
1108;sym8;3;soft;0,5;0,8;4,992557587862237;10,801961431893112;0,0008905382176822361;0,00023372877218644136;14,7764
1116;sym8;3;soft;1,0;0,4;4,992557587862237;10,801961431893112;0,0008905382176822361;0,00023372877218644136;14,3376
